Ticker,samples,direction_accuracy,strength_accuracy_conditional,avg_hierarchical_score,avg_strength_distance,horizon
HPQ,3885,0.2579150579150579,0.08494208494208494,0.17142857142857143,0.8483033932135728,1d
AMZN,3835,0.26258148631029987,0.07926988265971317,0.17092568448500653,0.8907646474677259,1d
CAT,6699,0.2503358710255262,0.08613225854605165,0.16823406478578892,0.8240906380441264,1d
CRM,6911,0.2482998118940819,0.08479236000578788,0.1665460859499349,0.8304195804195804,1d
PANW,4162,0.25588659298414224,0.07087938491110043,0.16338298894762135,0.9652582159624413,1d
AAPL,6462,0.2395543175487465,0.08248220365212008,0.1610182606004333,0.8359173126614987,1d
ADBE,5836,0.23817683344756682,0.0774503084304318,0.1578135709389993,0.8532374100719424,1d
F,1362,0.2290748898678414,0.0763582966226138,0.1527165932452276,0.8589743589743589,1d
QCOM,7694,0.22719001819599688,0.07629321549259163,0.15174161684429424,0.8255148741418764,1d
MRVL,3007,0.2178250748254074,0.08313934153641503,0.1504822081809112,0.8015267175572519,1d
TSM,4606,0.22253582283977422,0.07750759878419453,0.15002171081198437,0.8458536585365853,1d
ADI,3206,0.21740486587648158,0.06643792888334372,0.14192139737991266,0.8794835007173601,1d
ERIC,2495,0.20480961923847696,0.06693386773547094,0.13587174348697395,0.8571428571428571,1d
DE,3446,0.1938479396401625,0.06384213580963435,0.12884503772489844,0.8413173652694611,1d
GOOG,9637,0.1918646881809692,0.0625713396285151,0.12721801390474213,0.8436992969172525,1d
MMM,3732,0.18220793140407288,0.06993569131832797,0.12607181136120044,0.7573529411764706,1d
ASML,2220,0.18423423423423424,0.06711711711711711,0.12567567567567567,0.823960880195599,1d
ORCL,7115,0.17385804638088545,0.06057624736472242,0.11721714687280393,0.8189167340339532,1d
EMR,2278,0.17208077260755048,0.05750658472344162,0.11479367866549604,0.8163265306122449,1d
ROK,1650,0.1715151515151515,0.0496969696969697,0.11060606060606061,0.8833922261484098,1d
TXN,4026,0.16145057128663687,0.051664182811723795,0.10655737704918032,0.8507692307692307,1d
TM,5422,0.1534489118406492,0.056621172998893396,0.1050350424197713,0.7475961538461539,1d
NTAP,2978,0.1605104096709201,0.048354600402955,0.10443250503693755,0.9267782426778243,1d
CSCO,1061,0.12629594721960416,0.04052780395852969,0.08341187558906692,0.8582089552238806,1d
GOOGL,1354,0.09379615952732644,0.030280649926144758,0.0620384047267356,0.8110236220472441,1d
KLAC,1128,0.07535460992907801,0.013297872340425532,0.044326241134751775,0.9647058823529412,1d
AVGO,2102,0.05994291151284491,0.024262607040913417,0.04210275927687916,0.7936507936507936,1d
LOGI,683,0.055636896046852125,0.020497803806734993,0.03806734992679356,0.7368421052631579,1d
LRCX,657,0.0593607305936073,0.015220700152207,0.03729071537290715,0.9230769230769231,1d
GD,1233,0.05190592051905921,0.0202757502027575,0.036090835360908353,0.703125,1d
HMC,1419,0.046511627906976744,0.014799154334038054,0.0306553911205074,0.7878787878787878,1d
NXPI,1072,0.04291044776119403,0.017723880597014924,0.03031716417910448,0.9347826086956522,1d
JBL,1189,0.045416316232127836,0.015138772077375946,0.030277544154751892,0.9074074074074074,1d
CRWD,2152,0.44284386617100374,0.24488847583643122,0.34386617100371747,0.5194123819517313,3d
OKTA,1309,0.4102368220015279,0.23758594346829642,0.32391138273491216,0.5121042830540037,3d
ZS,1295,0.41081081081081083,0.23011583011583012,0.3204633204633205,0.5413533834586466,3d
GM,78,0.4358974358974359,0.1794871794871795,0.3076923076923077,0.6470588235294118,3d
NIO,4001,0.37215696075981003,0.21219695076230943,0.29217695576105973,0.5661517797179315,3d
SWKS,1538,0.40897269180754225,0.1716514954486346,0.2903120936280884,0.7424483306836248,3d
TEAM,845,0.3633136094674556,0.19881656804733727,0.28106508875739644,0.5244299674267101,3d
MU,6002,0.3915361546151283,0.16777740753082307,0.2796567810729757,0.7570212765957447,3d
ON,1231,0.3736799350121852,0.17627944760357434,0.27497969130787975,0.6652173913043479,3d
BA,3652,0.3847207009857612,0.16511500547645125,0.27491785323110624,0.698220640569395,3d
AAOI,1186,0.35497470489038785,0.19477234401349072,0.2748735244519393,0.684085510688836,3d
BB,1135,0.3312775330396476,0.20176211453744494,0.2665198237885463,0.5292553191489362,3d
AMD,8155,0.3572041692213366,0.17216431637032495,0.2646842427958308,0.6656368005492619,3d
SMCI,133,0.3308270676691729,0.18796992481203006,0.2593984962406015,0.5681818181818182,3d
NVDA,9884,0.325273168757588,0.16339538648320517,0.2443342776203966,0.6475894245723173,3d
DELL,1584,0.33775252525252525,0.13383838383838384,0.23579545454545456,0.7009345794392523,3d
NOW,1776,0.32150900900900903,0.14189189189189189,0.23170045045045046,0.7057793345008757,3d
AMAT,3931,0.3411345713558891,0.11727295853472398,0.22920376494530653,0.8247576435495898,3d
GE,7505,0.32258494337108595,0.12191872085276483,0.2222518321119254,0.8157786038826931,3d
TSLA,6606,0.2974568574023615,0.13593702694520132,0.2166969421737814,0.6687022900763359,3d
NOK,3285,0.3223744292237443,0.10624048706240487,0.2143074581430746,0.9225684608120869,3d
INTC,8024,0.30321535393818544,0.11478065802592223,0.20899800598205384,0.7735306206329634,3d
AMZN,3835,0.3029986962190352,0.10586701434159061,0.2044328552803129,0.8227194492254734,3d
PANW,4162,0.2789524267179241,0.12277751081210957,0.20086496876501683,0.7450473729543498,3d
MSFT,6069,0.28241884989289834,0.11089141538968529,0.1966551326412918,0.7561260210035006,3d
HPQ,3885,0.2893178893178893,0.10270270270270271,0.19601029601029601,0.8211743772241993,3d
AAPL,6462,0.28102754565150107,0.11002785515320335,0.1955277004023522,0.7687224669603524,3d
CRM,6911,0.27839675879033426,0.10577340471711764,0.19208508175372593,0.7874220374220374,3d
CAT,6699,0.2779519331243469,0.1013584117032393,0.1896551724137931,0.8082706766917294,3d
ADBE,5836,0.26559287183002056,0.10315284441398218,0.18437285812200138,0.7812903225806451,3d
QCOM,7694,0.25864309851832595,0.10475695347023654,0.18170002599428126,0.7361809045226131,3d
HPE,1494,0.2637215528781794,0.09036144578313253,0.17704149933065597,0.850253807106599,3d
F,1362,0.24302496328928047,0.08957415565345081,0.16629955947136563,0.8006042296072508,3d
ADI,3206,0.23611977542108548,0.08671241422333126,0.16141609482220837,0.7926023778071334,3d
MRVL,3007,0.22381110741602928,0.09710675091453276,0.160458929165281,0.7384843982169391,3d
TSM,4606,0.23382544507164568,0.08684324793747286,0.16033434650455927,0.7929433611884865,3d
ERIC,2495,0.22725450901803607,0.0841683366733467,0.1557114228456914,0.8201058201058201,3d
DE,3446,0.21648287869994196,0.08067324434126523,0.1485780615206036,0.7788203753351206,3d
GOOG,9637,0.21075023347514787,0.08301338590847775,0.1468818096918128,0.7567700640078779,3d
ASML,2220,0.20765765765765765,0.08423423423423423,0.14594594594594595,0.7700650759219089,3d
MMM,3731,0.20637898686679174,0.07317073170731707,0.1397748592870544,0.825974025974026,3d
ORCL,7115,0.1994378074490513,0.07491215741391427,0.1371749824314828,0.7970401691331924,3d
EMR,2278,0.19622475856014046,0.07243195785776997,0.13432835820895522,0.814317673378076,3d
ROK,1650,0.18727272727272729,0.06545454545454546,0.12636363636363637,0.7864077669902912,3d
TXN,4026,0.1815697963238947,0.06507699950322901,0.12332339791356185,0.8358413132694938,3d
NTAP,2978,0.18233713901947615,0.06380120886501008,0.12306917394224312,0.8397790055248618,3d
TM,5422,0.15916635927701955,0.05920324603467355,0.10918480265584656,0.7740440324449595,3d
CSCO,1055,0.13933649289099526,0.055924170616113746,0.0976303317535545,0.7142857142857143,3d
GOOGL,1350,0.11703703703703704,0.03925925925925926,0.07814814814814815,0.8481012658227848,3d
KLAC,1128,0.07890070921985816,0.023936170212765957,0.051418439716312055,0.9887640449438202,3d
LOGI,683,0.06881405563689605,0.029282576866764276,0.04904831625183016,0.7659574468085106,3d
LRCX,657,0.0715372907153729,0.0258751902587519,0.0487062404870624,0.8936170212765957,3d
AVGO,2102,0.06898192197906755,0.022835394862036156,0.045908658420551855,0.8,3d
GD,1233,0.06082725060827251,0.0267639902676399,0.043795620437956206,0.6133333333333333,3d
NXPI,1072,0.05783582089552239,0.018656716417910446,0.03824626865671642,1.032258064516129,3d
HMC,1419,0.0507399577167019,0.023255813953488372,0.03699788583509514,0.7083333333333334,3d
JBL,1189,0.045416316232127836,0.015138772077375946,0.030277544154751892,0.7407407407407407,3d
CRWD,2152,0.4637546468401487,0.30436802973977695,0.3840613382899628,0.4228456913827655,5d
OKTA,1309,0.40565317035905274,0.2582123758594347,0.3319327731092437,0.4519774011299435,5d
ZS,1295,0.3907335907335907,0.2525096525096525,0.3216216216216216,0.45454545454545453,5d
GM,78,0.46153846153846156,0.1794871794871795,0.32051282051282054,0.6944444444444444,5d
ON,1231,0.3972380178716491,0.22014622258326563,0.30869212022745735,0.558282208588957,5d
NIO,4001,0.3834041489627593,0.22869282679330166,0.3060484878780305,0.529986962190352,5d
SWKS,1538,0.4024707412223667,0.1846553966189857,0.2935630689206762,0.6736672051696284,5d
MU,6002,0.38520493168943687,0.19210263245584805,0.2886537820726425,0.6479238754325259,5d
AAOI,1186,0.34317032040472173,0.23102866779089376,0.2870994940978078,0.515970515970516,5d
TEAM,845,0.35976331360946745,0.20946745562130178,0.2846153846153846,0.4934210526315789,5d
BA,3652,0.39950711938663747,0.15772179627601315,0.2786144578313253,0.7840986977381769,5d
AMD,8145,0.3607120933087784,0.1875997544505832,0.2741559238796808,0.607215793056501,5d
BB,1135,0.32422907488986785,0.20352422907488987,0.26387665198237886,0.46195652173913043,5d
NVDA,9884,0.3216309186564144,0.188789963577499,0.2552104411169567,0.5240641711229946,5d
NOW,1776,0.33952702702702703,0.15878378378378377,0.2491554054054054,0.6882255389718076,5d
DELL,1584,0.33396464646464646,0.14646464646464646,0.24021464646464646,0.7901701323251418,5d
AMAT,3939,0.345011424219345,0.13125158669713125,0.23813150545823814,0.8094186902133922,5d
AMZN,3835,0.3345501955671447,0.13976531942633638,0.23715775749674053,0.745128604832424,5d
GE,7505,0.33284477015323116,0.12631578947368421,0.2295802798134577,0.8382706164931946,5d
TSLA,6606,0.3013926733272782,0.1478958522555253,0.22464426279140176,0.6127574083375188,5d
NOK,3285,0.3202435312024353,0.11659056316590563,0.21841704718417046,0.9020912547528517,5d
SMCI,133,0.2781954887218045,0.15789473684210525,0.21804511278195488,0.5945945945945946,5d
PANW,4162,0.2842383469485824,0.14656415185007207,0.21540124939932725,0.5950972104818258,5d
MSFT,6069,0.3112539133300379,0.1145163947932114,0.21288515406162464,0.795659078877713,5d
INTC,8024,0.2979810568295115,0.11665004985044865,0.20731555333998006,0.7820995399414471,5d
CRM,6911,0.2928664447981479,0.11459991318188395,0.20373317899001592,0.7514822134387352,5d
AAPL,6462,0.28706282884555867,0.11219436706901888,0.19962859795728877,0.7778975741239892,5d
HPQ,3885,0.29009009009009007,0.10398970398970399,0.19703989703989705,0.8402839396628217,5d
CAT,6699,0.2886998059411853,0.09986565158978952,0.19428272876548738,0.8412616339193382,5d
QCOM,7694,0.2590330127371978,0.10943592409669872,0.18423446841694827,0.7200200702458606,5d
HPE,1494,0.2677376171352075,0.09906291834002677,0.18340026773761714,0.8025,5d
ADBE,5836,0.26079506511309114,0.10503769705277588,0.1829163810829335,0.7555847568988173,5d
MRVL,3007,0.2268041237113402,0.10542068506817426,0.16611240438975725,0.6832844574780058,5d
ADI,3206,0.2364316905801622,0.0842170929507174,0.1603243917654398,0.8403693931398417,5d
ERIC,2495,0.23406813627254508,0.08537074148296593,0.1597194388777555,0.8424657534246576,5d
TSM,4606,0.2359965262700825,0.08293530178028659,0.15946591402518454,0.8371665133394665,5d
F,1362,0.2305433186490455,0.0881057268722467,0.1593245227606461,0.767515923566879,5d
GOOG,9637,0.22226834076994914,0.09380512607657984,0.1580367334232645,0.7217553688141923,5d
DE,3446,0.2237376668601277,0.07544979686593152,0.1495937318630296,0.8300907911802854,5d
ASML,2220,0.2072072072072072,0.08423423423423423,0.14572072072072073,0.758695652173913,5d
MMM,3731,0.21388367729831145,0.07611900294827124,0.14500134012329136,0.8095238095238095,5d
EMR,2278,0.21685689201053557,0.07023705004389816,0.14354697102721686,0.8987854251012146,5d
ORCL,7115,0.19479971890372452,0.07097680955727337,0.13288826423049896,0.7914862914862915,5d
NTAP,2978,0.18300873069173942,0.07756883814640698,0.1302887844190732,0.7412844036697248,5d
ROK,1650,0.1806060606060606,0.07212121212121213,0.12636363636363637,0.7348993288590604,5d
TXN,4026,0.1860407352210631,0.06209637357178341,0.12406855439642325,0.8758344459279038,5d
TM,5422,0.16949465142014017,0.05754334194024345,0.11351899668019182,0.8367791077257889,5d
CSCO,1050,0.12571428571428572,0.054285714285714284,0.09,0.6439393939393939,5d
GOOGL,1345,0.10037174721189591,0.03494423791821561,0.06765799256505577,0.9333333333333333,5d
LRCX,657,0.0700152207001522,0.0258751902587519,0.04794520547945205,0.7391304347826086,5d
KLAC,1128,0.07801418439716312,0.01773049645390071,0.047872340425531915,0.9886363636363636,5d
GD,1233,0.06326034063260341,0.028386050283860504,0.045823195458231956,0.6153846153846154,5d
AVGO,2102,0.06612749762131304,0.022835394862036156,0.0444814462416746,0.8129496402877698,5d
LOGI,683,0.055636896046852125,0.02635431918008785,0.040995607613469986,0.6052631578947368,5d
NXPI,1072,0.054104477611940295,0.02332089552238806,0.03871268656716418,0.7586206896551724,5d
HMC,1419,0.05637773079633545,0.019027484143763214,0.03770260747004933,0.9375,5d
JBL,1189,0.05298570227081581,0.021867115222876366,0.037426408746846086,0.6666666666666666,5d
CRWD,2144,0.47201492537313433,0.3180970149253731,0.39505597014925375,0.37648221343873517,10d
OKTA,1307,0.43075745983167557,0.2907421576128539,0.36074980872226475,0.3996447602131439,10d
SMCI,132,0.4772727272727273,0.2196969696969697,0.3484848484848485,0.7619047619047619,10d
GM,66,0.45454545454545453,0.24242424242424243,0.3484848484848485,0.5666666666666667,10d
ZS,1288,0.3936335403726708,0.28804347826086957,0.3408385093167702,0.33727810650887574,10d
NIO,3997,0.39154365774330746,0.2536902677007756,0.32261696272204154,0.4619808306709265,10d
TEAM,841,0.3947681331747919,0.2437574316290131,0.3192627824019025,0.4789156626506024,10d
AAOI,1186,0.3650927487352445,0.26644182124789206,0.3157672849915683,0.44803695150115475,10d
ON,1229,0.3807973962571196,0.23433685923515052,0.3075671277461351,0.48717948717948717,10d
SWKS,1538,0.406371911573472,0.2035110533159948,0.3049414824447334,0.6096,10d
MU,5992,0.3938584779706275,0.21194926568758343,0.3029038718291055,0.6300847457627119,10d
BA,3643,0.42355201756793853,0.16909140818007137,0.29632171287400494,0.7790019442644199,10d
AMD,8075,0.3702786377708978,0.21126934984520124,0.2907739938080495,0.5327759197324414,10d
BB,1132,0.3365724381625442,0.22968197879858657,0.2831272084805654,0.3779527559055118,10d
AMZN,3767,0.3793469604459782,0.1823732413060791,0.2808601008760287,0.6410076976906928,10d
NOW,1769,0.36517806670435277,0.1814584511023177,0.2733182589033352,0.6718266253869969,10d
NVDA,9845,0.33062468257998984,0.20873539867953275,0.2696800406297613,0.44823348694316434,10d
AMAT,3939,0.37065244986037066,0.13683676059913683,0.25374460522975373,0.8376712328767123,10d
DELL,1581,0.34282099936748894,0.14927261227071473,0.24604680581910182,0.7712177121771218,10d
GE,7502,0.3495067981871501,0.13383097840575847,0.24166888829645428,0.8546910755148741,10d
PANW,4155,0.29386281588447655,0.1776173285198556,0.23574007220216606,0.4823914823914824,10d
TSLA,6579,0.31342149262805896,0.15701474388204895,0.23521811825505395,0.6071774975751697,10d
